Robert Williams III,BOS,98
Ty Jerome,PHX,98
Tim Frazier,DET,97
Ante Zizic,CLE,96
Deonte Burton,OKC,94
Jordan Bell,MEM,93
Thabo Sefolosha,HOU,92
Jalen McDaniels,CHA,89
Kyle O'Quinn,PHI,87
Cristiano Felicio,CHI,86
PJ Dozier,DEN,86
Justin James,SAC,85
Chris Chiozza,BKN,84
Admiral Schofield,WAS,83
Nicolas Batum,CHA,79
Al-Farouq Aminu,ORL,78
Mychal Mulder,GSW,77
DeMarre Carroll,HOU,73
Bruno Caboclo,HOU,72
TJ Leaf,IND,72
Ryan Broekhoff,DAL,71
Juan Toscano-Anderson,GSW,69
Romeo Langford,BOS,69
Kevon Looney,GSW,68
Nicolas Claxton,BKN,66
Caleb Swanigan,POR,65
CJ Miles,WAS,64
Evan Turner,MIN,62
Andre Iguodala,MIA,61
Wenyen Gabriel,POR,60
Alen Smailagic,GSW,59
Jared Dudley,LAL,58
Jaylen Nowell,MIN,57
Terance Mann,LAC,56
Iman Shumpert,BKN,54
Derrick Walton Jr.,DET,53
Michael Kidd-Gilchrist,DAL,52
Drew Eubanks,SAS,51
John Konchar,MEM,51
Kadeem Allen,NYK,50
Chimezie Metu,SAS,46
Thanasis Antetokounmpo,MIL,45
Mfiondu Kabengele,LAC,42
Norvel Pelle,PHI,42
Keldon Johnson,SAS,41
Tyrone Wallace,ATL,40
Vincent Poirier,BOS,39
Jaylen Hoard,POR,38
Oshae Brissett,TOR,37
Johnathan Williams,WAS,35
Tyson Chandler,HOU,34
Ed Davis,UTA,33
Tremont Waters,BOS,33
Adam Mokoka,CHI,32
Yuta Watanabe,MEM,30
Amir Coffey,LAC,28
Dion Waiters,LAL,28
Johnathan Motley,LAC,28
Zach Collins,POR,27
Jeremy Pargo,GSW,25
Malcolm Miller,TOR,23
Stanley Johnson,TOR,23
Charles Brown Jr.,ATL,20
Dean Wade,CLE,20
Louis King,DET,20
Juwan Morgan,UTA,19
Rayjon Tucker,UTA,19
Tacko Fall,BOS,19
Tyler Cook,CLE,19
Alize Johnson,IND,18
Melvin Frazier Jr.,ORL,18
Ignas Brazdeikis,NYK,17
Khyri Thomas,DET,17
Vlatko Cancar,DEN,17
Amile Jefferson,ORL,15
Chandler Parsons,ATL,14
Frank Mason,MIL,14
Michael Frazier,HOU,14
Naz Mitrou-Long,IND,14
BJ Johnson,ORL,13
Justin Robinson,WAS,13
Dusty Hannahs,MEM,12
Gabe Vincent,MIA,12
Jarred Vanderbilt,MIN,12
Jordan Bone,DET,12
Josh Magette,ORL,12
Moses Brown,POR,11
Jalen Lecque,PHX,10
Jonah Bolden,PHX,10
Zach Norvell Jr.,GSW,10
Justin Patton,OKC,9
Shamorie Ponds,TOR,9
Zhaire Smith,PHI,8
DaQuan Jeffries,SAC,7
KZ Okpala,MIA,7
Donta Hall,DET,6
Eric Mika,SAC,6
Antonius Cleveland,DAL,5
Chasson Randle,GSW,5
Devon Hall,OKC,5
Max Strus,CHI,5
Ryan Anderson,HOU,5
Udonis Haslem,MIA,5
Brian Bowen II,IND,4
Dewan Hernandez,TOR,4
Jarrod Uthoff,MEM,4
Nigel Williams-Goss,UTA,4
Tariq Owens,PHX,4
Zylan Cheatham,NOP,4
Daryl Macon,MIA,3
Justin Anderson,BKN,3
Marial Shayok,PHI,3
Henry Ellenson,BKN,2
Jared Harper,PHX,2
Jeremiah Martin,BKN,2
Joe Chealey,CHA,2
Josh Gray,NOP,2
Kevin Hervey,OKC,2
Kyle Guy,SAC,2
Malik Newman,CLE,2
Matt Mooney,CLE,2
Paul Watson,TOR,1
Isaiah Roby,OKC,0
J.P. Macura,CLE,0
Jarrell Brantley,UTA,0
Josh Reaves,DAL,0
Justin Wright-Foreman,UTA,0
Kostas Antetokounmpo,LAL,0
Luka Samanic,SAS,0
Marques Bolden,CLE,0
Miye Oni,UTA,0
Quinndary Weatherspoon,SAS,0
Stanton Kidd,UTA,0
Talen Horton-Tucker,LAL,0
Vic Law,ORL,0
William Howard,HOU,0
